City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,kingston,17.997,-76.7936,34.58,63,20,3.6,JM,1696090020
244,bereket,39.2446,55.5154,21.1,23,0,3.98,TM,1696090021
245,jackson,42.4165,-122.8345,12.53,91,100,2.06,US,1696090236
246,tura,25.5198,90.2201,23.17,94,79,1.47,IN,1696090034
247,conception bay south,47.4999,-52.9981,16.85,78,5,1.02,CA,1696090237
248,antonio enes,-16.2325,39.9086,25.2,75,93,6.84,MZ,1696090237
249,sulya,12.5667,75.3833,23.32,98,76,1.21,IN,1696090238
250,safi,32.1667,-8.8333,34.03,16,35,7.56,MA,1696090238
251,praia da vitoria,38.7333,-27.0667,23.2,75,100,3.9,PT,1696090016
252,camana,-16.6228,-72.7111,20.64,74,65,4.22,PE,1696090238
253,arar,30.9753,41.0381,30.26,14,0,3.32,SA,1696090200
254,aguas formosas,-17.0822,-40.9358,27.84,54,95,3.31,BR,1696090239
255,castletown,53.0281,-9.0686,18.27,89,100,8.02,IE,1696090239
256,afaahiti,-17.75,-149.2833,21.93,85,56,9.18,PF,1696089998
257,lazaro cardenas,17.9583,-102.2,30.21,71,56,0.67,MX,1696090089
258,mount gambier,-37.8333,140.7667,18.88,49,100,6.75,AU,1696089907
259,bandarbeyla,9.4942,50.8122,26.41,84,6,11.7,SO,1696090136
260,paita,-5.0892,-81.1144,23.23,70,54,5.12,PE,1696090240
261,villamontes,-21.25,-63.5,29.65,21,58,3.41,BO,1696090037
262,belmonte,-15.8631,-38.8828,26.0,72,70,4.99,BR,1696090241
263,arawa,-6.2132,155.5367,24.56,92,100,1.19,PG,1696090241
264,isafjordur,66.0755,-23.124,8.02,66,40,3.09,IS,1696090011
265,anar darah,32.7587,61.654,21.03,17,0,4.85,AF,1696090242
266,lorengau,-2.0226,147.2712,26.83,83,100,2.17,PG,1696090121
267,yuzhno-kurilsk,44.0306,145.8556,16.32,81,100,4.09,RU,1696090076
268,tejen,37.3834,60.5054,22.46,24,0,3.86,TM,1696090245
269,polovinnoye,54.7914,65.9864,10.71,85,100,2.69,RU,1696090247
270,cefa,46.9167,21.7333,24.23,41,0,1.54,RO,1696090249
271,kandahar,31.0,65.75,17.94,18,0,2.2,AF,1696090153
272,flin flon,54.7682,-101.865,7.65,79,99,4.77,CA,1696090254
273,port alfred,-33.5906,26.891,13.99,89,100,4.92,ZA,1696090045
274,gustavsberg,59.3268,18.3898,15.14,76,2,6.88,SE,1696090259
275,inhambane,-23.865,35.3833,24.99,83,20,6.69,MZ,1696090261
276,santa vitoria,-18.8386,-50.1214,36.28,32,23,3.66,BR,1696090264
277,malabar,-33.9667,151.25,18.4,84,1,2.06,AU,1696090268
278,chervonohryhorivka,47.623,34.5389,22.05,34,6,3.21,UA,1696090270
279,broome,42.2506,-75.833,21.44,82,20,4.63,US,1696090271
280,tyukhtet,56.5389,89.3011,1.45,81,100,4.17,RU,1696090092
281,arraial do cabo,-22.9661,-42.0278,24.92,61,75,9.77,BR,1696089977
282,srivardhan,18.0333,73.0167,25.98,91,100,1.56,IN,1696090217
283,tolanaro,-25.0319,46.9987,22.51,87,57,5.33,MG,1696090060
284,porto novo,6.4965,2.6036,29.26,65,24,3.91,BJ,1696090272
285,mutsu,41.2894,141.2169,17.46,91,82,1.21,JP,1696090272
286,kavaratti,10.5669,72.642,27.74,82,82,8.48,IN,1696090099
287,pattaya,12.9333,100.8833,27.83,79,100,2.2,TH,1696090273
288,guiping,23.3925,110.0814,27.26,79,18,0.48,CN,1696090274
289,saipan,15.1355,145.701,26.39,89,0,2.06,MP,1696090084
290,avellaneda,-29.1176,-59.6583,23.44,43,40,4.53,AR,1696090274
291,ji'an,27.1172,114.9793,24.36,88,3,2.28,CN,1696090274
292,borrazopolis,-23.9411,-51.5875,32.18,35,24,3.01,BR,1696090275
293,tanabe,33.7333,135.3667,24.06,92,40,1.24,JP,1696090275
294,paranavai,-23.0731,-52.4653,34.07,33,52,3.56,BR,1696090275
295,singarayakonda,15.25,80.0333,29.67,66,58,1.96,IN,1696090276
296,zheleznodorozhnyy,55.7503,38.0042,19.23,58,71,3.13,RU,1696089985
297,biankouma,7.7391,-7.6138,28.72,67,98,1.09,CI,1696090276
298,rauma,61.1272,21.5113,13.02,81,68,6.65,FI,1696090277
299,sabang,5.8933,95.3214,27.89,75,28,1.42,ID,1696090277
300,hadibu,12.65,54.0333,27.41,82,100,0.66,YE,1696090041
301,anamosa,42.1083,-91.2852,28.95,55,31,4.21,US,1696090278
302,tianshui,34.5439,105.6897,15.24,74,100,2.08,CN,1696090278
303,port-vila,-17.7338,168.3219,19.78,73,75,4.63,VU,1696090278
304,eureka,40.8021,-124.1637,14.86,93,81,1.79,US,1696090278
305,kilju,40.9642,129.3278,11.97,68,53,3.05,KP,1696090279
306,kailua-kona,19.6406,-155.9956,25.33,80,20,2.68,US,1696090279
307,mbuji-mayi,-6.15,23.6,24.86,73,92,1.55,CD,1696090280
308,remire-montjoly,4.9167,-52.2667,33.02,55,40,3.6,GF,1696090042
309,vilyuchinsk,52.9306,158.4028,6.07,70,100,1.0,RU,1696090141
310,boende,-0.2167,20.8667,29.22,62,77,0.6,CD,1696090280
311,newman,37.3138,-121.0208,16.7,17,81,3.33,US,1696090019
312,robertsport,6.7533,-11.3686,27.98,77,68,5.37,LR,1696090281
313,mirabad,30.4362,61.8383,25.01,17,0,4.81,AF,1696090279
314,san victor arriba,19.4774,-70.5359,30.94,62,75,3.09,DO,1696090281
315,portland,45.5234,-122.6762,13.64,86,40,1.79,US,1696090059
316,awjilah,29.1081,21.2869,29.25,29,67,4.25,LY,1696090282
317,tual,-5.6667,132.75,26.12,84,100,5.72,ID,1696090139
318,kainantu,-6.2887,145.8655,14.5,92,94,0.94,PG,1696090282
319,agaro,7.85,36.65,17.84,94,72,1.17,ET,1696090283
320,nandu,22.8525,110.8233,25.77,86,5,1.32,CN,1696090283
321,sharm el-sheikh,27.8518,34.305,36.08,21,0,5.66,EG,1696090283
322,san juan,-31.5375,-68.5364,18.52,24,0,1.47,AR,1696089917
323,bashmakovo,53.2133,43.0342,17.93,58,84,2.41,RU,1696090284
324,sanctuary point,-35.1114,150.629,17.64,41,27,2.46,AU,1696090284
325,punta del este,-34.9667,-54.95,14.06,68,75,5.66,UY,1696090284
326,dzilam gonzalez,21.2833,-88.9333,29.48,69,100,1.22,MX,1696090285
327,gewane,10.1664,40.6453,34.82,23,3,3.22,ET,1696090285
328,siguatepeque,14.6,-87.8333,25.5,68,81,1.76,HN,1696090159
329,ceelbuur,4.685,46.6176,28.69,60,81,6.34,SO,1696090286
330,cascais,38.6979,-9.4215,35.28,48,0,3.13,PT,1696090286
331,qurayyat,31.3318,37.3428,29.44,27,0,6.63,SA,1696090286
332,prineville,44.2999,-120.8345,9.14,84,100,4.12,US,1696090287
333,belaya glina,46.07,40.86,20.45,34,12,4.65,RU,1696090287
334,vadso,70.0744,29.7487,7.09,93,100,1.03,NO,1696090288
335,lebu,-37.6167,-73.65,14.66,64,50,2.76,CL,1696089814
336,nuuk,64.1835,-51.7216,3.34,81,20,4.12,GL,1696090288
337,ylitornio,66.3089,23.6773,11.45,96,100,2.7,FI,1696090288
338,gaspe,48.8334,-64.4819,20.12,45,0,2.57,CA,1696090289
339,atherton,53.5237,-2.4935,13.16,95,100,0.89,GB,1696090289
340,q'vareli,41.9549,45.8172,17.75,71,13,2.09,GE,1696090289
341,sarangani,5.4033,125.4636,28.48,72,59,5.16,PH,1696090290
342,aligudarz,33.4006,49.6949,18.41,23,3,1.52,IR,1696090290
